variant_id,s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
p1_t1_f2,322.3000,-31.3255,-42.0746,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,322.4001,-31.2814,-41.9848,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,322.5001,-31.2380,-41.8947,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,322.6001,-31.1957,-41.8041,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,322.7000,-31.1549,-41.7129,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,322.8000,-31.1157,-41.6209,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,322.9000,-31.0782,-41.5282,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.0000,-31.0426,-41.4348,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.1000,-31.0086,-41.3407,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.2000,-30.9761,-41.2461,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.3000,-30.9450,-41.1511,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.3999,-30.9149,-41.0558,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.4999,-30.8856,-40.9602,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.6000,-30.8568,-40.8644,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.6999,-30.8282,-40.7686,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.7999,-30.7997,-40.6728,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.8999,-30.7710,-40.5770,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,323.9999,-30.7419,-40.4813,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.0999,-30.7124,-40.3858,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.1999,-30.6824,-40.2904,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.2999,-30.6517,-40.1952,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.3998,-30.6204,-40.1003,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.4998,-30.5884,-40.0056,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.5998,-30.5556,-39.9111,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.6998,-30.5222,-39.8169,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.7998,-30.4881,-39.7229,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.8998,-30.4533,-39.6291,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,324.9998,-30.4179,-39.5356,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.0998,-30.3820,-39.4423,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
