s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
93.6944,-60.1639,-5.0347,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
93.9755,-59.9123,-5.1602,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
94.2567,-59.6607,-5.2857,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
94.5378,-59.4091,-5.4112,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
94.8048,-59.1599,-5.5070,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
95.0717,-58.9108,-5.6028,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
95.3387,-58.6616,-5.6986,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
95.6351,-58.3732,-5.7671,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
95.9315,-58.0848,-5.8355,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
96.2279,-57.7964,-5.9040,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
96.4875,-57.5556,-6.0011,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
96.7471,-57.3149,-6.0981,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
97.0067,-57.0741,-6.1952,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
97.2854,-56.7970,-6.2249,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
97.5640,-56.5200,-6.2545,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
97.8427,-56.2429,-6.2842,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
98.0983,-55.9878,-6.2681,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
98.3539,-55.7327,-6.2519,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
98.6095,-55.4776,-6.2358,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
98.8429,-55.2597,-6.1522,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
99.0763,-55.0418,-6.0686,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
99.3098,-54.8238,-5.9849,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
99.5432,-54.6059,-5.9013,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
99.8421,-54.3658,-5.7232,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
100.1411,-54.1258,-5.5450,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
100.4400,-53.8857,-5.3669,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
100.6729,-53.7295,-5.1942,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
100.9058,-53.5734,-5.0214,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
101.1386,-53.4172,-4.8487,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
