segment_id,point_index,branch_group,branch_option,selection_policy,next_segments,camera_task,camera_group,camera_start_index,camera_end_index,lidar_task,lidar_start_index,lidar_end_index,x,y,yaw_deg,gear,origin_latitude_deg,origin_longitude_deg,origin_altitude_m,position_reference,up_m,mission,speed_profile,stop_here,traffic_exit,camera_segment_id,source_segment_id,source_point_index,entry_point
to_forward3,36,,,,P_entry,off,,0,73,parking,0,73,-19.61291379,-59.71843434,63.401451,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,12,
to_forward3,37,,,,P_entry,off,,0,73,parking,0,73,-19.52851339,-59.53781539,63.884088,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,13,
to_forward3,38,,,,P_entry,off,,0,73,parking,0,73,-19.43742699,-59.36047286,63.195716,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,14,
to_forward3,39,,,,P_entry,off,,0,73,parking,0,73,-19.34871026,-59.18193183,64.179907,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,15,
to_forward3,40,,,,P_entry,off,,0,73,parking,0,73,-19.26376862,-59.00156453,66.305875,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,16,
to_forward3,41,,,,P_entry,off,,0,73,parking,0,73,-19.18853467,-58.81693996,69.510372,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,17,
to_forward3,42,,,,P_entry,off,,0,73,parking,0,73,-19.12425845,-58.62822164,71.843525,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,18,
to_forward3,43,,,,P_entry,off,,0,73,parking,0,73,-19.06429271,-58.43808617,71.719097,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,19,
to_forward3,44,,,,P_entry,off,,0,73,parking,0,73,-18.99919648,-58.24964596,69.562734,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,20,
to_forward3,45,,,,P_entry,off,,0,73,parking,0,73,-18.92510321,-58.06456070,66.244956,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,21,
to_forward3,46,,,,P_entry,off,,0,73,parking,0,73,-18.83867045,-57.88490989,64.710647,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,22,
to_forward3,47,,,,P_entry,off,,0,73,parking,0,73,-18.75477433,-57.70405378,68.183269,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,23,
to_forward3,48,,,,P_entry,off,,0,73,parking,0,73,-18.69070391,-57.51528023,70.847628,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,24,
to_forward3,49,,,,P_entry,off,,0,73,parking,0,73,-18.62396566,-57.32741466,66.791247,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,25,
to_forward3,50,,,,P_entry,off,,0,73,parking,0,73,-18.53389897,-57.14958117,63.852146,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,26,
to_forward3,51,,,,P_entry,off,,0,73,parking,0,73,-18.44827318,-56.96953857,65.935511,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,27,
to_forward3,52,,,,P_entry,off,,0,73,parking,0,73,-18.37135718,-56.78560943,64.371125,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,28,
to_forward3,53,,,,P_entry,off,,0,73,parking,0,73,-18.27604044,-56.61052553,63.497608,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,29,
to_forward3,54,,,,P_entry,off,,0,73,parking,0,73,-18.19355592,-56.42903253,68.628406,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,30,
to_forward3,55,,,,P_entry,off,,0,73,parking,0,73,-18.13095531,-56.23977097,70.696916,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,31,
to_forward3,56,,,,P_entry,off,,0,73,parking,0,73,-18.06177600,-56.05279309,69.599011,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,32,
to_forward3,57,,,,P_entry,off,,0,73,parking,0,73,-17.99196177,-55.86604836,69.968184,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,33,
to_forward3,58,,,,P_entry,off,,0,73,parking,0,73,-17.92519690,-55.67819244,70.117577,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,34,
to_forward3,59,,,,P_entry,off,,0,73,parking,0,73,-17.85635755,-55.49108644,68.612118,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,35,
to_forward3,60,,,,P_entry,off,,0,73,parking,0,73,-17.77981869,-55.30699992,66.414105,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,36,
to_forward3,61,,,,P_entry,off,,0,73,parking,0,73,-17.69684135,-55.12572316,66.164950,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,37,
to_forward3,62,,,,P_entry,off,,0,73,parking,0,73,-17.61870353,-54.94230733,68.673611,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,38,
to_forward3,63,,,,P_entry,off,,0,73,parking,0,73,-17.55190042,-54.75447421,70.442012,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,39,
to_forward3,64,,,,P_entry,off,,0,73,parking,0,73,-17.48522544,-54.56658575,67.049824,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,40,
to_forward3,65,,,,P_entry,off,,0,73,parking,0,73,-17.39671142,-54.38798606,64.183715,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,41,
to_forward3,66,,,,P_entry,off,,0,73,parking,0,73,-17.31160597,-54.20769699,66.034459,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,42,
to_forward3,67,,,,P_entry,off,,0,73,parking,0,73,-17.23479472,-54.02372578,68.532813,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,43,
