s_m,x_m,y_m,target_speed_mps,mission,direction
50.9653,-47.3167,16.1843,0.000,NORMAL,1
51.1904,-47.5311,16.2526,0.000,NORMAL,1
51.4154,-47.7455,16.3210,0.000,NORMAL,1
51.6618,-47.9762,16.4075,0.000,NORMAL,1
51.9081,-48.2068,16.4941,0.000,NORMAL,1
52.1545,-48.4375,16.5806,0.000,NORMAL,1
52.4007,-48.6714,16.6574,0.000,NORMAL,1
52.6470,-48.9054,16.7343,0.000,NORMAL,1
52.8932,-49.1393,16.8111,0.000,NORMAL,1
53.1756,-49.3978,16.9250,0.000,NORMAL,1
53.4581,-49.6563,17.0388,0.000,NORMAL,1
53.7406,-49.9148,17.1527,0.000,NORMAL,1
53.9481,-50.1126,17.2156,0.000,NORMAL,1
54.1556,-50.3103,17.2785,0.000,NORMAL,1
54.3632,-50.5081,17.3414,0.000,NORMAL,1
54.6070,-50.7446,17.4006,0.000,NORMAL,1
54.8508,-50.9812,17.4597,0.000,NORMAL,1
55.0946,-51.2177,17.5189,0.000,NORMAL,1
55.3252,-51.4408,17.5771,0.000,NORMAL,1
55.5558,-51.6640,17.6352,0.000,NORMAL,1
55.7864,-51.8871,17.6934,0.000,NORMAL,1
56.0286,-52.1147,17.7761,0.000,NORMAL,1
56.2707,-52.3423,17.8588,0.000,NORMAL,1
56.5129,-52.5699,17.9415,0.000,NORMAL,1
56.7537,-52.7982,18.0180,0.000,NORMAL,1
56.9944,-53.0265,18.0945,0.000,NORMAL,1
57.2352,-53.2548,18.1710,0.000,NORMAL,1
57.4977,-53.5094,18.2350,0.000,NORMAL,1
57.7603,-53.7640,18.2990,0.000,NORMAL,1
58.0228,-54.0186,18.3630,0.000,NORMAL,1
58.2449,-54.2326,18.4224,0.000,NORMAL,1
58.4669,-54.4466,18.4817,0.000,NORMAL,1
58.6890,-54.6606,18.5411,0.000,NORMAL,1
58.9772,-54.9433,18.5974,0.000,NORMAL,1
59.2654,-55.2259,18.6536,0.000,NORMAL,1
59.5537,-55.5086,18.7099,0.000,NORMAL,1
59.8249,-55.7729,18.7707,0.000,NORMAL,1
60.0960,-56.0372,18.8314,0.000,NORMAL,1
60.3672,-56.3015,18.8922,0.000,NORMAL,1
60.6642,-56.5911,18.9582,0.000,NORMAL,1
60.9612,-56.8806,19.0243,0.000,NORMAL,1
61.2582,-57.1702,19.0903,0.000,NORMAL,1
61.5410,-57.4529,19.0919,0.000,NORMAL,1
61.8237,-57.7357,19.0934,0.000,NORMAL,1
62.1065,-58.0184,19.0950,0.000,NORMAL,1
62.3347,-58.2438,19.0588,0.000,NORMAL,1
62.5630,-58.4692,19.0227,0.000,NORMAL,1
62.7913,-58.6946,18.9865,0.000,NORMAL,1
63.0196,-58.9200,18.9504,0.000,NORMAL,1
63.2900,-59.1819,18.8829,0.000,NORMAL,1
63.5605,-59.4438,18.8153,0.000,NORMAL,1
63.8310,-59.7057,18.7478,0.000,NORMAL,1
64.0943,-59.9543,18.6609,0.000,NORMAL,1
64.3577,-60.2029,18.5741,0.000,NORMAL,1
64.6210,-60.4515,18.4872,0.000,NORMAL,1
64.8936,-60.6680,18.3215,0.000,NORMAL,1
65.1663,-60.8844,18.1557,0.000,NORMAL,1
65.4389,-61.1009,17.9900,0.000,NORMAL,1
65.6987,-61.3089,17.8342,0.000,NORMAL,1
65.9586,-61.5168,17.6784,0.000,NORMAL,1
66.2184,-61.7248,17.5226,0.000,NORMAL,1
66.4825,-61.9231,17.3482,0.000,NORMAL,1
66.7466,-62.1215,17.1738,0.000,NORMAL,1
67.0108,-62.3198,16.9994,0.000,NORMAL,1
67.3099,-62.5196,16.7768,0.000,NORMAL,1
67.6091,-62.7195,16.5541,0.000,NORMAL,1
67.9082,-62.9193,16.3315,0.000,NORMAL,1
68.2014,-63.0797,16.0861,0.000,NORMAL,1
68.4945,-63.2401,15.8408,0.000,NORMAL,1
68.7877,-63.4005,15.5954,0.000,NORMAL,1
69.0532,-63.5106,15.3537,0.000,NORMAL,1
69.3188,-63.6206,15.1121,0.000,NORMAL,1
69.5843,-63.7307,14.8704,0.000,NORMAL,1
69.8519,-63.8642,14.6386,0.000,NORMAL,1
70.1194,-63.9978,14.4067,0.000,NORMAL,1
70.3869,-64.1313,14.1749,0.000,NORMAL,1
70.6752,-64.2653,13.9197,0.000,NORMAL,1
70.9635,-64.3992,13.6644,0.000,NORMAL,1
71.2517,-64.5332,13.4092,0.000,NORMAL,1
71.4925,-64.6596,13.2043,0.000,NORMAL,1
71.7333,-64.7860,12.9993,0.000,NORMAL,1
71.9741,-64.9125,12.7943,0.000,NORMAL,1
72.2149,-65.0389,12.5894,0.000,NORMAL,1
72.4810,-65.1303,12.3395,0.000,NORMAL,1
72.7471,-65.2217,12.0897,0.000,NORMAL,1
73.0131,-65.3131,11.8398,0.000,NORMAL,1
73.2717,-65.4399,11.6145,0.000,NORMAL,1
73.5302,-65.5668,11.3892,0.000,NORMAL,1
73.7888,-65.6936,11.1639,0.000,NORMAL,1
74.0481,-65.8391,10.9492,0.000,NORMAL,1
74.3074,-65.9846,10.7346,0.000,NORMAL,1
74.5872,-66.0954,10.4777,0.000,NORMAL,1
74.8670,-66.2062,10.2208,0.000,NORMAL,1
75.1467,-66.3171,9.9639,0.000,NORMAL,1
75.4265,-66.4279,9.7070,0.000,NORMAL,1
75.6919,-66.5463,9.4695,0.000,NORMAL,1
75.9573,-66.6646,9.2320,0.000,NORMAL,1
76.2226,-66.7830,8.9945,0.000,NORMAL,1
76.4761,-66.8852,8.7625,0.000,NORMAL,1
76.7296,-66.9874,8.5305,0.000,NORMAL,1
76.9831,-67.0897,8.2986,0.000,NORMAL,1
77.2366,-67.1919,8.0666,0.000,NORMAL,1
77.5203,-67.2554,7.7902,0.000,NORMAL,1
77.8039,-67.3189,7.5137,0.000,NORMAL,1
78.0875,-67.3824,7.2373,0.000,NORMAL,1
78.3592,-67.4432,6.9725,0.000,NORMAL,1
78.6310,-67.5040,6.7076,0.000,NORMAL,1
78.9027,-67.5648,6.4428,0.000,NORMAL,1
79.1539,-67.6207,6.1979,0.000,NORMAL,1
79.4051,-67.6766,5.9530,0.000,NORMAL,1
79.6563,-67.7325,5.7081,0.000,NORMAL,1
79.9211,-67.7283,5.4433,0.000,NORMAL,1
80.1859,-67.7242,5.1785,0.000,NORMAL,1
80.4508,-67.7200,4.9137,0.000,NORMAL,1
80.7156,-67.7158,4.6489,0.000,NORMAL,1
80.9582,-67.7011,4.4068,0.000,NORMAL,1
81.2008,-67.6864,4.1646,0.000,NORMAL,1
81.4434,-67.6716,3.9224,0.000,NORMAL,1
81.6860,-67.6569,3.6803,0.000,NORMAL,1
81.9752,-67.6322,3.3922,0.000,NORMAL,1
82.2644,-67.6075,3.1040,0.000,NORMAL,1
82.5536,-67.5828,2.8159,0.000,NORMAL,1
82.8464,-67.5087,2.5326,0.000,NORMAL,1
83.1392,-67.4346,2.2494,0.000,NORMAL,1
83.4320,-67.3605,1.9661,0.000,NORMAL,1
83.7229,-67.2403,1.7011,0.000,NORMAL,1
84.0139,-67.1201,1.4362,0.000,NORMAL,1
84.3048,-66.9999,1.1712,0.000,NORMAL,1
84.5362,-66.8761,0.9758,0.000,NORMAL,1
84.7675,-66.7524,0.7803,0.000,NORMAL,1
84.9988,-66.6287,0.5848,0.000,NORMAL,1
85.2302,-66.5049,0.3894,0.000,NORMAL,1
85.5101,-66.3229,0.1767,0.000,NORMAL,1
85.7901,-66.1409,-0.0361,0.000,NORMAL,1
86.0701,-65.9589,-0.2488,0.000,NORMAL,1
86.3085,-65.8235,-0.4450,0.000,NORMAL,1
86.5469,-65.6881,-0.6412,0.000,NORMAL,1
86.7853,-65.5526,-0.8375,0.000,NORMAL,1
87.0237,-65.4172,-1.0337,0.000,NORMAL,1
87.2687,-65.2424,-1.2054,0.000,NORMAL,1
87.5137,-65.0677,-1.3771,0.000,NORMAL,1
87.7587,-64.8929,-1.5487,0.000,NORMAL,1
88.0037,-64.7181,-1.7204,0.000,NORMAL,1
88.2682,-64.5274,-1.9037,0.000,NORMAL,1
88.5328,-64.3367,-2.0871,0.000,NORMAL,1
88.7973,-64.1459,-2.2704,0.000,NORMAL,1
89.0619,-63.9552,-2.4537,0.000,NORMAL,1
89.3264,-63.7645,-2.6371,0.000,NORMAL,1
89.5910,-63.5738,-2.8204,0.000,NORMAL,1
89.8880,-63.3533,-3.0195,0.000,NORMAL,1
90.1851,-63.1327,-3.2185,0.000,NORMAL,1
90.4822,-62.9122,-3.4176,0.000,NORMAL,1
