s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
259.3546,-50.0893,-21.9311,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.4545,-49.9963,-21.9676,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.5545,-49.9032,-22.0041,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.6545,-49.8101,-22.0405,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.7545,-49.7170,-22.0770,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.8545,-49.6239,-22.1135,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.9545,-49.5308,-22.1501,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
260.0322,-49.4586,-22.1787,0.000,TRAFFIC,1,TRAFFIC,TRAFFIC_2_RED_STOP,STOP_IF_CONDITION,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.0544,-49.4379,-22.1869,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.1545,-49.3450,-22.2240,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.2544,-49.2523,-22.2613,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.3544,-49.1596,-22.2989,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.4544,-49.0671,-22.3368,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.5543,-48.9748,-22.3751,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.6544,-48.8826,-22.4139,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.7543,-48.7906,-22.4530,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.8543,-48.6988,-22.4926,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
260.9543,-48.6072,-22.5327,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.0543,-48.5159,-22.5734,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.1543,-48.4247,-22.6145,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.2543,-48.3338,-22.6562,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.3542,-48.2432,-22.6983,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.4543,-48.1527,-22.7410,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.5542,-48.0625,-22.7841,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.6542,-47.9725,-22.8276,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.7542,-47.8826,-22.8713,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.8542,-47.7928,-22.9153,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
261.9541,-47.7031,-22.9594,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.0541,-47.6133,-23.0034,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.1541,-47.5234,-23.0471,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.2541,-47.4332,-23.0904,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.3540,-47.3428,-23.1329,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.4541,-47.2518,-23.1745,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.5540,-47.1604,-23.2149,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
